"id","label","field","network_id"
"1","API Key","api_key","1"
"2","Web Services Token","web_services_token","2"
"3","Token","token","3"
"4","Secret Key","secret_key","3"
"5","API Key","api_key","4"
"6","Account SID","account_sid","5"
"7","Auth Token","auth_token","5"
"8","Affiliate ID","affiliate_id","6"
"9","API Key","api_key","6"
"10","Affiliate ID","affiliate_id","7"
"11","API Key","api_key","7"
"12","Affiliate ID","affiliate_id","8"
"13","API Key","api_key","8"
"14","API Key","api_key","9"
"15","API Password","api_password","10"
"16","Password for "publishertoolkit" User","api_password","26"
"17","Token","token","27"
"18","Public API Key","public_api_key","29"
"19","Private API Key","private_api_key","29"
